IL                              ILCE                            SEMT                            MAHALLE                                 POSTA KODU
AĞRI                          	DİYADİN                       	DİYADİN                       	14 NİSAN MAH.                      	04900
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BEŞEVLER MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BEYAZTAŞ MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BOYALAN KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BUDAK KÖYÜ                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BUĞDAYLI MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BURGULU KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	BÜVETLİ KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	CUMHURİYET MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ÇİFÇİ MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DAVUT KÖYÜ                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DEDEBULAK KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DELİHASAN KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DİBEKLİ KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DOKUZTAŞ KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	DURAK MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GEDİK KÖYÜ                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GÖĞEBAKAN KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GÖZÜPEK KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GULEBIST MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GÜLTEPE MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	GÜNBULDU KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	HACIHALİT KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	HARABE MAH.                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	HASI KALİ KOMU MAH.                	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	HEYBELİYURT KÖYÜ                   	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	İBRAHİM KOMU MAH.                  	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	İPEK MAH.                          	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	İSAAĞA KÖYÜ                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	İSASELAM MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KAMİL IŞIK KOMU MAH.               	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KAPANCA KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KAPLICA MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KARAPAZAR KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KARATAŞ KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KAYNAKLI MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KEZO MAH.                          	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KIRMIZI KOM MAH.                   	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KOCAÇOBAN KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KOM MAH.                           	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KOTANCI KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KURT DERE MAH.                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KUŞBURNU KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	KUŞLU KÖYÜ                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	MECBURİYET MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	MOLLAKARA KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	MUTLU KÖYÜ                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	OĞULOBA KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	OMUZBAŞI KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	OTLUBAYIR MAH.                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	PİRALİ KÖYÜ                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	RAHMANKULU KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SAİTBEY MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SATICILAR KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SEYİTLER MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SOĞUKSU KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SÜRENKÖK KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	SÜRMELİKOÇ KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ŞAHİNBEY MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ŞAHİNŞAH KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ŞEHİTLER MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ŞEKERBULAK KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TARIM MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TARLABAŞI MAH.                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TAŞBASAMAK KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TAŞKESEN KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TAZEKENT KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TEYİP MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	TOKLUCAK KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ULUKENT KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	UYSALLI KÖYÜ                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YANIKÇUKUR KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YENİÇADIR KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YENİİPEK MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YEŞİLDURAK KÖYÜ                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YEYİP MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YILAN MAH.                         	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YILDIRIM KÖYÜ                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YILDIZ KÖYÜ                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YOL BOYU MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YOL MAH.                           	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YOL ÜSTÜ MAH.                      	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YOLCUPINARI KÖYÜ                   	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YÖRÜKATLI KÖYÜ                     	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARI KARDEŞLİ MAH.               	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARI KÖH MAH.                    	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARI MAH.                        	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARI SATICILAR MAH.              	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARI UĞUR MAH.                   	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARIAKPAZAR KÖYÜ                 	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARIDALÖREN KÖYÜ                 	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUKARITÜTEK KÖYÜ                   	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YUVA KÖYÜ                          	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	YÜCELER MAH.                       	04902
AĞRI                          	DİYADİN                       	MERKEZKÖYLER                  	ZORAVA MAH.                        	04902
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	ABDİGÖR MAH.                       	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	AHMEDİHANİ MAH.                    	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	BARIŞ MAH.                         	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	BÜYÜK AĞRI MAH.                    	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	ÇİFTEPINAR MAH.                    	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	HASANKEYF MAH.                     	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	HÜRRİYET MAH.                      	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	İSHAKPAŞA MAH.                     	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	KOÇKIRAN MAH.                      	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	SANAYİ MAH.                        	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	SARIGÜL MAH.                       	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	ULUYOL MAH.                        	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	VATAN MAH.                         	04400
AĞRI                          	DOĞUBAYAZIT                   	DOĞUBAYAZIT                   	YENİ MAH.                          	04400
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AĞA MAH.                           	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AKÇUKUR MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AKTARLA KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AKTUĞLU KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ALINTEPE KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ALTUN TEPE MAH.                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ARPALI MAH.                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AŞ.KÜÇÜK YILANLI MAH.              	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AŞAĞI GÜNGÖREN MAH.                	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AŞAĞITAVLA KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ATABAKAN KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AYDOĞAN MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	AYRANCI KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BARDAKLI KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BARINDI KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BAŞKÖY KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BEDİR MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BEKİRAĞIL MAH.                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BEREKET KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BESLER KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BEZİRHANE KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BİNKAYA KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BOZKURT KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BOZYAYLA KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BÖLÜCEK KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BULAKBAŞI KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	BUYURETTİ KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	CEBEKÜMBET MAH.                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇALIKÖY KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇATKIRAN MAH.                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇAYIR MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇETENLİ KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇEVİRME MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇİFTLİK KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÇÖMÇELİ KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DAĞDELEN KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DALBAHÇE KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DARIK MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DEMİR KAPI MAH.                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DEMİR KILIÇ MAH.                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DEMİRTEPE KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DOLAKLI KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DOSTALİ KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	DURYAN MAH.                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ELLE MAH.                          	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ESKİSU KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ESNEMEZ KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GIR MAH.                           	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖKÇEBULAK MAH.                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖKÇEKAYNAK KÖYÜ                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖKSÜGÜZEL MAH.                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖLLER KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖLYÜZÜ KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÖZÜKARA KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜLLÜCE KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜLTEPE KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜNGÖREN KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜNYOLU KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜRBULAK KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	GÜZEL MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	HALAÇ KÖYÜ                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	HASO MAH.                          	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	İNCESU KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KALE MAH.                          	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KALECİK KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KALHASAN MAH.                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARABULAK KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARABURUN KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARACA KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARAKENT KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARAŞEYH KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KARGAKONMAZ KÖYÜ                   	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KAZAN KÖYÜ                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KESME TAŞ MAH.                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KIZILKAYA KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KONUT MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KONUTLAR MAH.                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KÖRÜK MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KUCAK KÖYÜ                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KURUTEPE MAH.                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KUTLUBULAK KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KÜÇÜK UZUN YAZI MAH.               	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KÜÇÜK YILANLI MAH.                 	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KÜNÜTEPE MAH.                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	KÜPLÜ MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	MELİKŞAH KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	MESCİTKÖY KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	MİRAĞIL MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ORTACA MAH.                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ORTADİREK KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ORTAKÖY KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÖMERBEY MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÖRMELİ KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÖRTÜLÜ KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	PULLUTARLA KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	RIZDE MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SAĞDIÇ KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SAĞLIKSUYU KÖYÜ                    	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SAMANLI MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SARIBIYIK KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SARIÇAVUŞ KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SAZOBA KÖYÜ                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SESLİTAŞ KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SOMKAYA KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SUBEŞİĞİ KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SULUÇEM KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	SÜTCÜ MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ŞEVKET MAH.                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TAB MAH.                           	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TANIKTEPE KÖYÜ                     	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TAŞLI MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TELÇEKER KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TEPELİ MAH.                        	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TIMIR MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TIMIR VE HASO MAH.                 	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TOPÇATAN KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TUTAK KÖYÜ                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TUTUMLU KÖYÜ                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	TÜRKMEN MAH.                       	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	UĞRAK MAH.                         	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	UZUNYAZI KÖYÜ                      	04402
AĞRI                          	DOĞUBAYAZIT                   	MERKEZKÖYLER                  	ÜÇGÖZE KÖYÜ                        	04402
